bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
3867,The History of Love,Nicole Krauss,3.92,0393328627,9780393328622,eng,255,107024,9640
41681,The Jungle,Upton Sinclair-Earl Lee-Kathleen DeGrave,3.73,1884365302,9781884365300,eng,335,106675,3993
667,Anthem,Ayn Rand,3.63,0452281253,9780452281257,eng,105,106642,6951
4271,About a Boy,Nick Hornby,3.8,0140285679,9780140285673,eng,307,106510,2124
19057,I Am the Messenger,Markus Zusak,4.08,0375836675,9780375836671,eng,357,106498,11074
13895,The Fires of Heaven (Wheel of Time  #5),Robert Jordan,4.15,1857232097,9781857232097,eng,912,106302,1503
6858,Hot Six (Stephanie Plum  #6),Janet Evanovich,4.19,0312976275,9780312976279,eng,336,106282,2036
10909,The Tenth Circle,Jodi Picoult,3.49,074349671X,9780743496711,eng,416,106201,4970
2526,Blindness,José Saramago-Giovanni Pontiero,4.11,0156007754,9780156007757,eng,326,106162,7807
5544,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard Feynman,4.28,0393316041,9780393316049,eng,391,105685,3613
12555,The Bonesetter's Daughter,Amy Tan,3.98,0345457374,9780345457370,eng,368,105432,2599
21671,Mystic River,Dennis Lehane,4.18,0060584750,9780060584757,eng,416,105317,2735
11597,The Dark Half,Stephen King,3.76,045052468X,9780450524684,eng,469,105027,1186
5890,The Woman in White,Wilkie Collins-Matthew Sweet,3.99,0141439610,9780141439617,eng,672,104614,4931
42898,Lover Revealed (Black Dagger Brotherhood  #4),J.R. Ward,4.3,0451412354,9780451412355,eng,455,104180,3616
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa-Akira Watanabe,4.49,1591169208,9781591169208,eng,192,103978,1326
34507,Equal Rites (Discworld  #3; Witches  #1),Terry Pratchett,4.02,0060855908,9780060855901,eng,228,103822,2069
32263,The Surgeon (Rizzoli & Isles  #1),Tess Gerritsen,4.1,055381706X,9780553817065,eng,416,103747,2766
21611,The Forever War (The Forever War  #1),Joe Haldeman,4.15,0060510862,9780060510862,eng,278,103375,3780
35231,Lord of Chaos (Wheel of Time  #6),Robert Jordan,4.12,0812513754,9780812513752,eng,1011,102983,1778
43070,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,0836218051,9780836218053,eng,256,102955,619
7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.6,081297106X,9780812971064,eng,356,102707,6444
18116,His Dark Materials (His Dark Materials #1-3),Philip Pullman-Peter Bailey,4.26,0440238609,9780440238607,eng,1088,102687,3761
7588,A Portrait of the Artist as a Young Man,James Joyce-Seamus Deane,3.61,0142437344,9780142437346,eng,329,102308,3352
13139,School's Out—Forever (Maximum Ride  #2),James Patterson,4.15,0316155594,9780316155595,eng,409,101968,2684
32829,Journey to the Center of the Earth (Extraordinary Voyages  #3),Jules Verne,3.85,0553213970,9780553213973,eng,240,101764,2353
17184,The Invisible Man,H.G. Wells,3.63,0451528522,9780451528520,eng,192,101659,3563
31463,Far From the Madding Crowd,Thomas Hardy-Rosemarie Morgan-Shannon Russell,3.94,0141439653,9780141439655,eng,433,101129,3605
6424,Seven Up (Stephanie Plum  #7),Janet Evanovich,4.16,0312980140,9780312980146,en-US,337,101029,1776
13890,A Crown of Swords (Wheel of Time  #7),Robert Jordan,4.03,0812550285,9780812550283,eng,880,100910,1459
5797,Vanity Fair,William Makepeace Thackeray-John Carey,3.78,0141439831,9780141439839,eng,867,100384,2174
10965,A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon,4.44,0385340397,9780385340397,eng,980,100326,3845
15195,The Complete Maus,Art Spiegelman,4.55,0141014083,9780141014081,eng,296,100212,5436
10884,Einstein: His Life and Universe,Walter Isaacson,4.1,0743264738,9780743264730,eng,675,99410,2654
6425,Hard Eight (Stephanie Plum  #8),Janet Evanovich-Lorelei King,4.17,0312983867,9780312983864,eng,326,99289,1834
6423,High Five (Stephanie Plum  #5),Janet Evanovich,4.18,0330371231,9780330371230,eng,336,99172,1746
9418,Shopaholic Takes Manhattan (Shopaholic  #2),Sophie Kinsella,3.76,0440241812,9780440241812,eng,387,97984,2359
33512,One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1),Jim Fergus,3.88,0312199430,9780312199432,eng,434,97955,7382
2052,The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,0394758285,9780394758282,eng,231,97885,3818
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,97731,1536
30264,Dead Witch Walking (The Hollows  #1),Kim Harrison,4.04,0060572965,9780060572969,en-US,416,97105,3995
13831,Alanna: The First Adventure (Song of the Lioness  #1),Tamora Pierce,4.27,0689878559,9780689878558,eng,274,96683,3648
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,0441172695,9780441172696,eng,331,96649,2306
3711,White Teeth,Zadie Smith,3.76,0375703861,9780375703867,eng,448,96220,5370
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,0142000280,9780142000281,en-GB,267,95950,3597
46306,The Complete Fairy Tales,Hans Christian Andersen-Lily Owens-Arthur Rackham-Hans Richter,4.28,0517092913,9780517092910,eng,803,95929,439
3579,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43,0553609416,76783609419,eng,2088,95486,1449
16527,Daughter of Fortune,Isabel Allende-Margaret Sayers Peden,3.9,0061120251,9780061120251,eng,432,95447,2657
8650,The Lost World (Jurassic Park #2),Michael Crichton,3.76,0752224417,9780752224411,eng,448,95109,2289
21348,Aesop's Fables,Aesop-Laura Harris-Laura Gibbs,4.05,0192840509,9780192840509,eng,306,95008,901
10883,Benjamin Franklin: An American Life,Walter Isaacson,3.99,074325807X,9780743258074,eng,586,94903,1613
8698,So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,0330491237,9780330491235,eng,167,93987,1391
27003,The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,0142001805,9780142001806,eng,374,93927,7844
5350,The Partner,John Grisham,3.91,0385339100,9780385339100,eng,416,93917,1814
13440,Skeleton Crew,Stephen King,3.95,0751504386,9780751504385,eng,612,93593,1078
16328,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,4.23,1579126278,9781579126278,eng,288,93453,4962
16631,Steppenwolf,Hermann Hesse-Basil Creighton,4.12,0140282580,9780140282580,eng,256,93199,2123
9419,Shopaholic Ties the Knot (Shopaholic  #3),Sophie Kinsella,3.77,0440241898,9780440241898,eng,407,93132,2049
31456,The Twits,Roald Dahl-Quentin Blake,3.95,0141318309,9780141318301,eng,96,93010,2419
40331,To the Nines (Stephanie Plum  #9),Janet Evanovich,4.17,0747267634,9780747267638,eng,320,92976,1533
4799,Cannery Row,John Steinbeck,4.03,014200068X,9780142000687,eng,181,92582,3681
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.91,0785263705,9780785263708,eng,243,92413,3671
47401,Chocolat (Chocolat  #1),Joanne Harris,3.96,014100018X,9780141000183,eng,306,92266,2884
4136,Holidays on Ice,David Sedaris,3.93,0316191299,9780316191296,eng,176,90802,4066
46164,Tender Is the Night,F. Scott Fitzgerald,3.82,068480154X,9780684801544,eng,315,90467,3227
24800,House of Leaves,Mark Z. Danielewski,4.12,038560310X,9780385603102,eng,705,90180,6932
11003,Eleven on Top (Stephanie Plum  #11),Janet Evanovich,4.16,0312985347,9780312985349,eng,321,89961,1689
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,0340837942,9780340837948,eng,288,89921,2347
29209,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,4.08,1573225789,9781573225786,eng,291,89841,4432
43933,Tell No One,Harlan Coben,4.11,0440236703,9780440236702,eng,370,89615,3812
12930,Messenger,Lois Lowry,3.91,0385732538,9780385732536,eng,169,89571,6445
17150,My Ántonia (Great Plains Trilogy  #3),Willa Cather,3.78,1583485090,9781583485095,eng,232,89067,4484
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9781585424337,eng,320,88437,2305
28195,Inkspell,Cornelia Funke-Anthea Bell,3.92,0439554004,9780439554008,eng,635,88095,3094
33456,A Dirty Job (Grim Reaper  #1),Christopher Moore,4.07,0060590270,9780060590277,en-US,387,88016,5333
5246,Ethan Frome,Edith Wharton,3.38,0142437808,9780142437803,eng,189,87790,3725
17683,Dead Beat (The Dresden Files  #7),Jim Butcher,4.44,045146091X,9780451460912,eng,517,87727,2630
47624,Lirael (Abhorsen  #2),Garth Nix,4.3,0060590165,9780060590161,en-US,464,87623,1828
12505,The Idiot,Fyodor Dostoyevsky-Constance Garnett-Alan Myers-Joseph Frank-Anna Brailovsky,4.18,0679642420,9780679642428,eng,667,87327,2559
